cohort_id,time_id,covariate_id,sum_value,mean,sd,database_id
1,9,2212593701,14459,0.1978,0.3984,Pharmetrics
1,5,2212568701,826,0.0113,0.1057,Pharmetrics
1,8,2212996701,3425,0.0469,0.2113,Pharmetrics
1,10,2212305701,5766,0.0789,0.2696,Pharmetrics
1,10,2212648701,48523,0.6639,0.4724,Pharmetrics
1,5,2212333701,5013,0.0686,0.2528,Pharmetrics
1,9,2212753701,2803,0.0384,0.192,Pharmetrics
1,1,2212982701,739,0.0101,0.1,Pharmetrics
1,8,2212300701,1122,0.0154,0.1229,Pharmetrics
1,1,2213115701,15477,0.2118,0.4086,Pharmetrics
1,1,2213087701,4665,0.0638,0.2444,Pharmetrics
1,1,2212168701,14729,0.2015,0.4011,Pharmetrics
1,9,2212095701,13007,0.178,0.3825,Pharmetrics
1,10,2212816701,7750,0.106,0.3079,Pharmetrics
1,10,2212427701,4106,0.0562,0.2303,Pharmetrics
1,8,2212539701,894,0.0122,0.1099,Pharmetrics
1,10,2212523701,3187,0.0436,0.2042,Pharmetrics
1,10,2212638701,1359,0.0186,0.1351,Pharmetrics
1,10,2212863701,796,0.0109,0.1038,Pharmetrics
1,5,2212603701,2934,0.0401,0.1963,Pharmetrics
1,5,2212427701,908,0.0124,0.1108,Pharmetrics
1,8,2212742701,939,0.0128,0.1126,Pharmetrics
1,1,2212649701,15069,0.2062,0.4046,Pharmetrics
1,2,2212099701,3154,0.0432,0.2032,Pharmetrics
1,5,2212418701,1131,0.0155,0.1234,Pharmetrics
1,4,2212166701,6900,0.0944,0.2924,Pharmetrics
1,2,2212539701,5298,0.0725,0.2593,Pharmetrics
1,1,2212376701,8499,0.1163,0.3206,Pharmetrics
1,1,2212737701,5191,0.071,0.2569,Pharmetrics
1,3,2212305701,2057,0.0281,0.1654,Pharmetrics
1,2,2213115701,12648,0.1731,0.3783,Pharmetrics
1,3,2212909701,1295,0.0177,0.1319,Pharmetrics
1,9,2212091701,8887,0.1216,0.3268,Pharmetrics
1,5,2212593701,14381,0.1968,0.3976,Pharmetrics
1,1,2213162701,15361,0.2102,0.4074,Pharmetrics
1,1,2212742701,4935,0.0675,0.2509,Pharmetrics
1,2,2212359701,2371,0.0324,0.1772,Pharmetrics
1,5,2212227701,840,0.0115,0.1066,Pharmetrics
1,3,2212603701,3068,0.042,0.2005,Pharmetrics
1,5,2213300701,1570,0.0215,0.145,Pharmetrics
1,10,2212238701,25113,0.3436,0.4749,Pharmetrics
1,1,2212300701,8898,0.1217,0.327,Pharmetrics
1,2,2212453701,3267,0.0447,0.2066,Pharmetrics
1,10,2213181701,10223,0.1399,0.3469,Pharmetrics
1,9,2212631701,6442,0.0881,0.2835,Pharmetrics
1,5,2213175701,1627,0.0223,0.1475,Pharmetrics
1,1,2212825701,895,0.0122,0.11,Pharmetrics
1,3,44816441701,3622,0.0496,0.217,Pharmetrics
1,1,2212320701,6884,0.0942,0.2921,Pharmetrics
1,5,2212421701,4581,0.0627,0.2424,Pharmetrics
1,10,2212312701,1362,0.0186,0.1352,Pharmetrics
1,2,2212885701,990,0.0135,0.1156,Pharmetrics
1,2,2212538701,4660,0.0638,0.2443,Pharmetrics
1,3,2212166701,12274,0.1679,0.3738,Pharmetrics
1,2,2212996701,12127,0.1659,0.372,Pharmetrics
1,5,2212090701,5664,0.0775,0.2674,Pharmetrics
1,1,2212591701,12786,0.1749,0.3799,Pharmetrics
1,4,704059701,2816,0.0385,0.1925,Pharmetrics
1,5,2212996701,8464,0.1158,0.32,Pharmetrics
1,7,4264984701,1172,0.016,0.1256,Pharmetrics
1,10,2213000701,1057,0.0145,0.1194,Pharmetrics
1,9,2212428701,958,0.0131,0.1137,Pharmetrics
1,1,2212753701,3874,0.053,0.224,Pharmetrics
1,6,2213115701,2750,0.0376,0.1903,Pharmetrics
1,10,46257666701,28990,0.3967,0.4892,Pharmetrics
1,1,2212642701,2345,0.0321,0.1762,Pharmetrics
1,10,2212333701,14430,0.1974,0.3981,Pharmetrics
1,9,2212835701,2506,0.0343,0.182,Pharmetrics
1,3,2212300701,5069,0.0694,0.2541,Pharmetrics
1,6,2212996701,3351,0.0459,0.2092,Pharmetrics
1,1,2212545701,867,0.0119,0.1083,Pharmetrics
1,9,2212093701,17201,0.2354,0.4242,Pharmetrics
1,10,2212602701,3778,0.0517,0.2214,Pharmetrics
1,4,2212648701,17296,0.2367,0.425,Pharmetrics
1,2,44816441701,4424,0.0605,0.2385,Pharmetrics
1,3,2212787701,2677,0.0366,0.1878,Pharmetrics
1,2,2212584701,1976,0.027,0.1622,Pharmetrics
1,9,704058701,1042,0.0143,0.1185,Pharmetrics
1,4,2212538701,1716,0.0235,0.1514,Pharmetrics
1,10,2212998701,11626,0.1591,0.3657,Pharmetrics
1,10,2212654701,1353,0.0185,0.1348,Pharmetrics
1,7,2212320701,846,0.0116,0.107,Pharmetrics
1,1,2617239701,2075,0.0284,0.1661,Pharmetrics
1,9,2213087701,3487,0.0477,0.2132,Pharmetrics
1,1,2212305701,3239,0.0443,0.2058,Pharmetrics
1,5,2212990701,2369,0.0324,0.1771,Pharmetrics
1,2,2212093701,22527,0.3082,0.4618,Pharmetrics
1,9,2212392701,9337,0.1278,0.3338,Pharmetrics
1,10,2212361701,4905,0.0671,0.2502,Pharmetrics
1,10,2212421701,13365,0.1829,0.3866,Pharmetrics
1,10,2213187701,14671,0.2007,0.4006,Pharmetrics
1,8,2212238701,2033,0.0278,0.1644,Pharmetrics
1,4,2212649701,8006,0.1095,0.3123,Pharmetrics
1,8,2212591701,1800,0.0246,0.155,Pharmetrics
1,10,2212591701,21845,0.2989,0.4578,Pharmetrics
1,2,2212090701,10565,0.1446,0.3517,Pharmetrics
1,5,2212761701,3231,0.0442,0.2056,Pharmetrics
1,10,2212748701,2386,0.0326,0.1777,Pharmetrics
1,10,2212235701,1558,0.0213,0.1444,Pharmetrics
1,3,2212591701,8085,0.1106,0.3137,Pharmetrics
1,6,2212091701,2091,0.0286,0.1667,Pharmetrics
1,2,2212742701,4086,0.0559,0.2297,Pharmetrics
1,10,2212769701,2333,0.0319,0.1758,Pharmetrics
1,4,2212095701,4735,0.0648,0.2462,Pharmetrics
1,1,2212632701,10876,0.1488,0.3559,Pharmetrics
1,9,2212261701,1212,0.0166,0.1277,Pharmetrics
1,2,2212769701,777,0.0106,0.1026,Pharmetrics
1,10,2212981701,1698,0.0232,0.1506,Pharmetrics
1,3,2212824701,1223,0.0167,0.1283,Pharmetrics
1,9,2213187701,4996,0.0684,0.2524,Pharmetrics
1,10,2213216701,2289,0.0313,0.1742,Pharmetrics
1,5,2212284701,870,0.0119,0.1085,Pharmetrics
1,10,2213300701,6984,0.0956,0.294,Pharmetrics
1,4,2212167701,3752,0.0513,0.2207,Pharmetrics
1,10,2212918701,5048,0.0691,0.2536,Pharmetrics
1,10,40757083701,988,0.0135,0.1155,Pharmetrics
1,1,2213031701,4558,0.0624,0.2418,Pharmetrics
1,10,2213122701,6288,0.086,0.2804,Pharmetrics
1,10,2212642701,5003,0.0685,0.2525,Pharmetrics
1,2,2212165701,1685,0.0231,0.1501,Pharmetrics
1,3,2212996701,9662,0.1322,0.3387,Pharmetrics
1,1,2212367701,1751,0.024,0.1529,Pharmetrics
1,3,2212377701,4059,0.0555,0.229,Pharmetrics
1,1,2213187701,8109,0.111,0.3141,Pharmetrics
1,4,2212168701,5352,0.0732,0.2605,Pharmetrics
1,3,2212417701,1671,0.0229,0.1495,Pharmetrics
1,9,2213044701,2251,0.0308,0.1728,Pharmetrics
1,2,2212238701,11390,0.1558,0.3627,Pharmetrics
1,5,2212591701,7854,0.1075,0.3097,Pharmetrics
1,1,2212538701,5599,0.0766,0.266,Pharmetrics
1,4,2212377701,1832,0.0251,0.1563,Pharmetrics
1,3,2213173701,1906,0.0261,0.1594,Pharmetrics
1,3,2212643701,3861,0.0528,0.2237,Pharmetrics
1,2,46257666701,16090,0.2202,0.4144,Pharmetrics
1,4,2212787701,1585,0.0217,0.1457,Pharmetrics
1,10,2212538701,10867,0.1487,0.3558,Pharmetrics
1,2,40757049701,1283,0.0176,0.1313,Pharmetrics
1,3,2213044701,2741,0.0375,0.19,Pharmetrics
1,2,2213122701,2789,0.0382,0.1916,Pharmetrics
1,10,4264984701,3906,0.0534,0.2249,Pharmetrics
1,2,2213175701,2416,0.0331,0.1788,Pharmetrics
1,2,2212376701,7148,0.0978,0.297,Pharmetrics
1,10,2212731701,10917,0.1494,0.3565,Pharmetrics
1,9,2212166701,10874,0.1488,0.3559,Pharmetrics
1,10,2213097701,1066,0.0146,0.1199,Pharmetrics
1,2,2212428701,1319,0.018,0.1331,Pharmetrics
1,10,2212363701,1296,0.0177,0.132,Pharmetrics
1,1,742224701,1608,0.022,0.1467,Pharmetrics
1,10,2212699701,4750,0.065,0.2465,Pharmetrics
1,2,2212764701,767,0.0105,0.1019,Pharmetrics
1,7,2212649701,2950,0.0404,0.1968,Pharmetrics
1,1,2212880701,1334,0.0183,0.1339,Pharmetrics
1,1,42742292701,937,0.0128,0.1125,Pharmetrics
1,7,2212441701,1019,0.0139,0.1173,Pharmetrics
1,2,704058701,1055,0.0144,0.1193,Pharmetrics
1,3,2212238701,8543,0.1169,0.3213,Pharmetrics
1,1,2212615701,2335,0.0319,0.1759,Pharmetrics
1,4,2212421701,1851,0.0253,0.1571,Pharmetrics
1,10,2213044701,7447,0.1019,0.3025,Pharmetrics
1,2,2314057701,895,0.0122,0.11,Pharmetrics
1,3,46257426701,999,0.0137,0.1161,Pharmetrics
1,10,2213039701,3529,0.0483,0.2144,Pharmetrics
1,5,2212095701,12862,0.176,0.3808,Pharmetrics
1,2,2212300701,6895,0.0943,0.2923,Pharmetrics
1,10,2212089701,2006,0.0274,0.1634,Pharmetrics
1,8,2212761701,797,0.0109,0.1039,Pharmetrics
1,10,2212171701,1121,0.0153,0.1229,Pharmetrics
1,9,46257666701,6036,0.0826,0.2753,Pharmetrics
1,9,2212601701,910,0.0125,0.1109,Pharmetrics
1,3,2212367701,1285,0.0176,0.1314,Pharmetrics
1,3,2212422701,3607,0.0494,0.2166,Pharmetrics
1,10,4326835701,1634,0.0224,0.1478,Pharmetrics
1,3,2212615701,1191,0.0163,0.1266,Pharmetrics
1,3,2212333701,5119,0.07,0.2552,Pharmetrics
1,10,2212212701,4650,0.0636,0.2441,Pharmetrics
1,10,2212631701,16271,0.2226,0.416,Pharmetrics
1,4,2212305701,930,0.0127,0.1121,Pharmetrics
1,5,2212376701,4847,0.0663,0.2488,Pharmetrics
1,5,2213162701,8188,0.112,0.3154,Pharmetrics
1,7,2212238701,1244,0.017,0.1294,Pharmetrics
1,8,2212603701,763,0.0104,0.1016,Pharmetrics
1,8,2212093701,5345,0.0731,0.2604,Pharmetrics
1,10,2212186701,1615,0.0221,0.147,Pharmetrics
1,1,2213175701,3184,0.0436,0.2041,Pharmetrics
1,5,2212737701,3084,0.0422,0.201,Pharmetrics
1,4,2213087701,1075,0.0147,0.1204,Pharmetrics
1,9,2212333701,5330,0.0729,0.26,Pharmetrics
1,1,2212643701,5387,0.0737,0.2613,Pharmetrics
1,1,46257667701,1021,0.014,0.1174,Pharmetrics
1,10,2212284701,3272,0.0448,0.2068,Pharmetrics
1,10,2212585701,8754,0.1198,0.3247,Pharmetrics
1,2,2212605701,2539,0.0347,0.1831,Pharmetrics
1,4,2213044701,1331,0.0182,0.1337,Pharmetrics
1,1,2212605701,3504,0.0479,0.2136,Pharmetrics
1,10,2212601701,3122,0.0427,0.2022,Pharmetrics
1,5,2212601701,944,0.0129,0.1129,Pharmetrics
1,9,42742292701,775,0.0106,0.1024,Pharmetrics
1,2,2212422701,4631,0.0634,0.2436,Pharmetrics
1,4,2212585701,1445,0.0198,0.1392,Pharmetrics
1,10,2212761701,10867,0.1487,0.3558,Pharmetrics
1,5,2213122701,1902,0.026,0.1592,Pharmetrics
1,1,2212470701,976,0.0134,0.1148,Pharmetrics
1,2,2212642701,1945,0.0266,0.1609,Pharmetrics
1,1,2212835701,3987,0.0546,0.2271,Pharmetrics
1,9,2212090701,7758,0.1062,0.308,Pharmetrics
1,5,2212294701,1190,0.0163,0.1266,Pharmetrics
1,5,2212998701,3091,0.0423,0.2013,Pharmetrics
1,4,2212300701,1843,0.0252,0.1568,Pharmetrics
1,6,2212090701,4325,0.0592,0.236,Pharmetrics
1,4,2212392701,4021,0.055,0.228,Pharmetrics
1,3,2212649701,11288,0.1545,0.3614,Pharmetrics
1,8,2212731701,1197,0.0164,0.1269,Pharmetrics
1,10,2212453701,9382,0.1284,0.3345,Pharmetrics
1,5,2212168701,8045,0.1101,0.313,Pharmetrics
1,6,2212591701,2148,0.0294,0.1689,Pharmetrics
1,1,2212879701,1180,0.0161,0.126,Pharmetrics
1,1,2212344701,2539,0.0347,0.1831,Pharmetrics
1,10,2212295701,5023,0.0687,0.253,Pharmetrics
1,1,2212787701,3042,0.0416,0.1997,Pharmetrics
1,9,700360701,1944,0.0266,0.1609,Pharmetrics
1,6,2212377701,1185,0.0162,0.1263,Pharmetrics
1,9,2213173701,1709,0.0234,0.1511,Pharmetrics
1,7,46257666701,3591,0.0491,0.2161,Pharmetrics
1,6,44816441701,958,0.0131,0.1137,Pharmetrics
1,5,704059701,3360,0.046,0.2094,Pharmetrics
1,10,2212377701,10412,0.1425,0.3495,Pharmetrics
1,9,2212998701,4016,0.0549,0.2279,Pharmetrics
1,1,2213181701,5461,0.0747,0.2629,Pharmetrics
1,1,2212774701,1393,0.0191,0.1367,Pharmetrics
1,3,2212392701,9297,0.1272,0.3332,Pharmetrics
1,8,2212333701,1108,0.0152,0.1222,Pharmetrics
1,6,2213162701,2733,0.0374,0.1897,Pharmetrics
1,2,4264984701,1811,0.0248,0.1555,Pharmetrics
1,10,2212556701,911,0.0125,0.1109,Pharmetrics
1,10,2212762701,2761,0.0378,0.1907,Pharmetrics
1,10,2212824701,5662,0.0775,0.2673,Pharmetrics
1,10,4198132701,1283,0.0176,0.1313,Pharmetrics
1,7,2212392701,1430,0.0196,0.1385,Pharmetrics
1,5,2212212701,1299,0.0178,0.1321,Pharmetrics
1,4,2212737701,999,0.0137,0.1161,Pharmetrics
1,5,2212742701,2081,0.0285,0.1663,Pharmetrics
1,3,2213300701,2470,0.0338,0.1807,Pharmetrics
1,5,2212923701,1371,0.0188,0.1357,Pharmetrics
1,4,2212422701,1426,0.0195,0.1383,Pharmetrics
1,9,2212761701,3801,0.052,0.222,Pharmetrics
1,9,2212584701,1222,0.0167,0.1282,Pharmetrics
1,5,2213031701,2469,0.0338,0.1807,Pharmetrics
1,9,2212212701,1289,0.0176,0.1316,Pharmetrics
1,10,2212094701,1675,0.0229,0.1496,Pharmetrics
1,1,2212602701,1951,0.0267,0.1612,Pharmetrics
1,1,2212418701,2014,0.0276,0.1637,Pharmetrics
1,5,2212098701,857,0.0117,0.1077,Pharmetrics
1,2,2617239701,1545,0.0211,0.1439,Pharmetrics
1,9,44816441701,2726,0.0373,0.1895,Pharmetrics
1,1,2213123701,788,0.0108,0.1033,Pharmetrics
1,10,2212980701,2229,0.0305,0.172,Pharmetrics
1,3,2213220701,2721,0.0372,0.1893,Pharmetrics
1,6,2212742701,1819,0.0249,0.1558,Pharmetrics
1,1,2212290701,1950,0.0267,0.1612,Pharmetrics
1,10,2212884701,1509,0.0206,0.1422,Pharmetrics
1,9,2212731701,3508,0.048,0.2138,Pharmetrics
1,1,2212824701,2457,0.0336,0.1802,Pharmetrics
1,6,2212173701,5419,0.0741,0.262,Pharmetrics
1,1,4264984701,2132,0.0292,0.1683,Pharmetrics
1,2,2213087701,3407,0.0466,0.2108,Pharmetrics
1,9,2212539701,2749,0.0376,0.1903,Pharmetrics
1,5,2212753701,2189,0.03,0.1705,Pharmetrics
1,3,2212585701,3176,0.0435,0.2039,Pharmetrics
1,10,2212344701,5196,0.0711,0.257,Pharmetrics
1,5,2212631701,4273,0.0585,0.2346,Pharmetrics
1,7,2212167701,1763,0.0241,0.1534,Pharmetrics
1,10,2213248701,824,0.0113,0.1056,Pharmetrics
1,5,2213187701,4473,0.0612,0.2397,Pharmetrics
1,1,2212227701,1633,0.0223,0.1478,Pharmetrics
1,3,2212421701,4664,0.0638,0.2444,Pharmetrics
1,9,2212924701,3805,0.0521,0.2222,Pharmetrics
1,10,2213170701,2211,0.0303,0.1713,Pharmetrics
1,4,2212742701,2253,0.0308,0.1728,Pharmetrics
1,10,2212604701,1529,0.0209,0.1431,Pharmetrics
1,10,2212549701,1473,0.0202,0.1405,Pharmetrics
1,4,42742380701,1452,0.0199,0.1395,Pharmetrics
1,5,2212824701,1423,0.0195,0.1382,Pharmetrics
1,1,2213176701,1005,0.0138,0.1165,Pharmetrics
1,3,2212589701,1704,0.0233,0.1509,Pharmetrics
1,1,2212099701,4173,0.0571,0.232,Pharmetrics
1,10,2212830701,2259,0.0309,0.1731,Pharmetrics
1,1,2213109701,2514,0.0344,0.1822,Pharmetrics
1,4,2212376701,2643,0.0362,0.1867,Pharmetrics
1,3,2212642701,1705,0.0233,0.1509,Pharmetrics
1,9,2212923701,1638,0.0224,0.148,Pharmetrics
1,3,2213122701,2215,0.0303,0.1714,Pharmetrics
1,1,2212762701,1306,0.0179,0.1325,Pharmetrics
1,3,2212924701,3057,0.0418,0.2002,Pharmetrics
1,9,2212991701,1905,0.0261,0.1593,Pharmetrics
1,2,2212089701,820,0.0112,0.1053,Pharmetrics
1,1,4326835701,742,0.0102,0.1002,Pharmetrics
1,7,2212376701,999,0.0137,0.1161,Pharmetrics
1,8,2212167701,1683,0.023,0.15,Pharmetrics
1,1,2212212701,2509,0.0343,0.1821,Pharmetrics
1,10,2212787701,4286,0.0586,0.235,Pharmetrics
1,1,2212887701,1505,0.0206,0.142,Pharmetrics
1,10,2212545701,2158,0.0295,0.1693,Pharmetrics
1,6,2212441701,1865,0.0255,0.1577,Pharmetrics
1,2,2212731701,4817,0.0659,0.2481,Pharmetrics
1,10,2212910701,1977,0.0271,0.1622,Pharmetrics
1,10,42742309701,802,0.011,0.1042,Pharmetrics
1,10,2212292701,1023,0.014,0.1175,Pharmetrics
1,4,46257666701,6193,0.0847,0.2785,Pharmetrics
1,8,2212095701,2657,0.0364,0.1872,Pharmetrics
1,10,2212406701,1892,0.0259,0.1588,Pharmetrics
1,10,2212345701,1850,0.0253,0.1571,Pharmetrics
1,9,2212776701,985,0.0135,0.1153,Pharmetrics
1,2,2212320701,5867,0.0803,0.2717,Pharmetrics
1,1,2212778701,1444,0.0198,0.1392,Pharmetrics
1,1,2212584701,2485,0.034,0.1812,Pharmetrics
1,10,2212780701,2331,0.0319,0.1757,Pharmetrics
1,10,2212261701,4010,0.0549,0.2277,Pharmetrics
1,9,2212642701,1254,0.0172,0.1299,Pharmetrics
1,5,742224701,1168,0.016,0.1254,Pharmetrics
1,5,2213109701,1255,0.0172,0.1299,Pharmetrics
1,10,2213288701,2354,0.0322,0.1766,Pharmetrics
1,10,2212165701,3690,0.0505,0.219,Pharmetrics
1,3,2212295701,1266,0.0173,0.1305,Pharmetrics
1,2,2212924701,4105,0.0562,0.2302,Pharmetrics
1,10,2212304701,876,0.012,0.1088,Pharmetrics
1,9,2212377701,3238,0.0443,0.2058,Pharmetrics
1,1,2212910701,796,0.0109,0.1038,Pharmetrics
1,2,2212615701,1663,0.0228,0.1491,Pharmetrics
1,10,2212241701,1394,0.0191,0.1368,Pharmetrics
1,2,2212887701,1075,0.0147,0.1204,Pharmetrics
1,10,2212599701,2000,0.0274,0.1631,Pharmetrics
1,4,2212816701,809,0.0111,0.1046,Pharmetrics
1,2,700360701,1859,0.0254,0.1574,Pharmetrics
1,2,2212591701,10394,0.1422,0.3493,Pharmetrics
1,2,2212648701,29585,0.4048,0.4909,Pharmetrics
1,10,2212168701,24706,0.338,0.473,Pharmetrics
1,9,2212996701,11586,0.1585,0.3652,Pharmetrics
1,6,2212585701,877,0.012,0.1089,Pharmetrics
1,1,2212631701,9370,0.1282,0.3343,Pharmetrics
1,10,2212984701,8681,0.1188,0.3235,Pharmetrics
1,10,2212603701,9395,0.1285,0.3347,Pharmetrics
1,9,2212361701,1696,0.0232,0.1506,Pharmetrics
1,3,2212376701,5886,0.0805,0.2721,Pharmetrics
1,9,2213300701,1874,0.0256,0.1581,Pharmetrics
1,1,2212924701,5308,0.0726,0.2595,Pharmetrics
1,1,2212093701,26071,0.3567,0.479,Pharmetrics
1,10,4077697701,1612,0.0221,0.1469,Pharmetrics
1,3,2212173701,20421,0.2794,0.4487,Pharmetrics
1,5,2213115701,8248,0.1129,0.3164,Pharmetrics
1,3,2212093701,18889,0.2585,0.4378,Pharmetrics
1,1,2212996701,15312,0.2095,0.407,Pharmetrics
1,9,2212300701,6018,0.0823,0.2749,Pharmetrics
1,10,2212539701,10407,0.1424,0.3495,Pharmetrics
1,1,2212173701,25573,0.3499,0.4769,Pharmetrics
1,3,46257666701,12927,0.1769,0.3816,Pharmetrics
1,6,2212539701,1184,0.0162,0.1262,Pharmetrics
1,10,2213162701,23055,0.3155,0.4647,Pharmetrics
1,10,700360701,6660,0.0911,0.2878,Pharmetrics
1,6,2212167701,2131,0.0292,0.1682,Pharmetrics
1,9,2212648701,21686,0.2967,0.4568,Pharmetrics
1,10,40757049701,4203,0.0575,0.2328,Pharmetrics
1,3,2212095701,12506,0.1711,0.3766,Pharmetrics
1,4,2212091701,3443,0.0471,0.2119,Pharmetrics
1,10,2212166701,29342,0.4015,0.4902,Pharmetrics
1,1,2213044701,4492,0.0615,0.2402,Pharmetrics
1,9,2212605701,2446,0.0335,0.1799,Pharmetrics
1,2,2212337701,3639,0.0498,0.2175,Pharmetrics
1,9,2212538701,4861,0.0665,0.2492,Pharmetrics
1,3,2213115701,10485,0.1435,0.3505,Pharmetrics
1,6,2212593701,4262,0.0583,0.2343,Pharmetrics
1,7,2212093701,3204,0.0438,0.2047,Pharmetrics
1,1,46257666701,19837,0.2714,0.4447,Pharmetrics
1,10,2212470701,2264,0.031,0.1733,Pharmetrics
1,5,2212377701,3379,0.0462,0.21,Pharmetrics
1,5,2212093701,15290,0.2092,0.4067,Pharmetrics
1,9,2213181701,3312,0.0453,0.208,Pharmetrics
1,10,2212093701,40785,0.558,0.4966,Pharmetrics
1,5,2212731701,2534,0.0347,0.1829,Pharmetrics
1,2,2212305701,2575,0.0352,0.1844,Pharmetrics
1,2,2212631701,7956,0.1089,0.3115,Pharmetrics
1,3,2212631701,6825,0.0934,0.291,Pharmetrics
1,10,2212649701,25781,0.3528,0.4778,Pharmetrics
1,10,2212090701,22882,0.3131,0.4637,Pharmetrics
1,4,2212591701,3287,0.045,0.2072,Pharmetrics
1,4,2212173701,14918,0.2041,0.4031,Pharmetrics
1,10,2212362701,1824,0.025,0.156,Pharmetrics
1,1,2212731701,5808,0.0795,0.2705,Pharmetrics
1,10,2212198701,3000,0.041,0.1984,Pharmetrics
1,1,2212090701,12727,0.1741,0.3792,Pharmetrics
1,1,2212095701,20970,0.2869,0.4523,Pharmetrics
1,3,2212593701,15700,0.2148,0.4107,Pharmetrics
1,3,42742380701,3240,0.0443,0.2058,Pharmetrics
1,2,2212166701,14799,0.2025,0.4019,Pharmetrics
1,9,2212167701,6434,0.088,0.2833,Pharmetrics
1,3,2212835701,2219,0.0304,0.1716,Pharmetrics
1,1,2212421701,7423,0.1016,0.3021,Pharmetrics
1,10,2213027701,1584,0.0217,0.1456,Pharmetrics
1,2,2212167701,8980,0.1229,0.3283,Pharmetrics
1,10,2213087701,9919,0.1357,0.3425,Pharmetrics
1,3,2212091701,8934,0.1222,0.3276,Pharmetrics
1,10,2212643701,9565,0.1309,0.3373,Pharmetrics
1,10,2212337701,9375,0.1283,0.3344,Pharmetrics
1,4,2212996701,4805,0.0657,0.2478,Pharmetrics
1,10,2213220701,6594,0.0902,0.2865,Pharmetrics
1,9,2213175701,1795,0.0246,0.1548,Pharmetrics
1,9,2212990701,2942,0.0403,0.1966,Pharmetrics
1,10,2213115701,23182,0.3172,0.4654,Pharmetrics
1,3,2212167701,7372,0.1009,0.3012,Pharmetrics
1,1,2212333701,7993,0.1094,0.3121,Pharmetrics
1,2,2212091701,11954,0.1636,0.3699,Pharmetrics
1,2,2212593701,19582,0.2679,0.4429,Pharmetrics
1,2,42742380701,4358,0.0596,0.2368,Pharmetrics
1,8,2212441701,1404,0.0192,0.1373,Pharmetrics
1,10,2212418701,3902,0.0534,0.2248,Pharmetrics
1,10,2212880701,2486,0.034,0.1813,Pharmetrics
1,9,2212168701,9140,0.1251,0.3308,Pharmetrics
1,10,2212099701,7829,0.1071,0.3093,Pharmetrics
